Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
A,0,0,0.409332,1,4,1280851921
B,0,0,0.4713088,1,2,1280854109
B,0,0,0.4304653,1,2,1280856921
M,2,0,0.5011926,1,2,1280859390
A,2,0,0.3294477,1,6,1280904859
M,0,0,0.5176024,0,6,1280931718
A,2,0,0.3764733,1,8,1280944421
A,2,0,0.3782895,1,8,1280951734
A,2,0,0.44409,1,8,1281001875
A,2,0,0.3935029,1,8,1281006546
M,0,0,0.4041869,1,2,1281069609
M,0,0,0.412242,0,2,1281079421
M,0,0,0.4282615,1,6,1281091656
M,2,0,0.4862187,1,2,1281118500
M,0,0,0.4775707,1,2,1281125703
A,0,0,0.4860945,1,8,1281133531
A,2,0,0.4777721,1,8,1281141046
B,0,0,0.46893,1,4,1281145609
B,2,0,0.4777894,1,2,1281150625
A,0,0,0.3772088,1,6,1281173171
A,2,0,0.3929241,1,6,1281205781
A,2,0,0.3969805,1,8,1281215750
B,2,0,0.4329678,0,2,1281228093
A,2,0,0.4078147,1,8,1281230750
M,2,0,0.5216402,1,2,1281235546
B,0,0,0.4183504,1,4,1281243343
M,0,0,0.4734836,1,4,1281248109
M,0,0,0.4643929,0,8,1281253015
A,0,0,0.4625912,1,6,1281270828
M,0,0,0.5229784,1,6,1281290031
A,2,0,0.5029342,1,6,1281309968
B,0,0,0.4657439,0,6,1281312046
B,0,0,0.5271029,1,6,1281317031
B,2,0,0.4317152,1,6,1281339437
B,2,0,0.4430868,1,6,1281349187
A,2,0,0.4148271,1,6,1281351593
B,0,0,0.4493063,1,6,1281378968
M,0,0,0.5259673,1,6,1281381187
M,2,0,0.4882418,1,6,1281401265
M,0,0,0.5719212,1,6,1281463500
M,0,0,0.4619784,0,6,1281483734
B,2,0,0.5115965,1,6,1281498109
M,0,0,0.4405896,1,6,1281503250
B,0,0,0.4536346,1,6,1281508390
M,0,0,0.3648967,1,6,1281513078
