Correct Response,Rotation (deg),Reaction Time (ms)-Delay,Target
0,-7.5,663.817232,0
1,-7.5,530.113264,2
1,-7.5,660.634826,2
1,-7.5,685.079708,0
1,-7.5,625.0616,2
1,-7.5,590.338026,1
1,-7.5,547.850899,0
1,-7.5,518.629886,0
1,-7.5,520.950755,1
0,-7.5,637.651881,2
1,-7.5,450.703709,1
1,-7.5,666.414312,2
1,-7.5,530.877963,1
1,0,386.445432,1
1,0,527.243024,1
1,0,631.921141,2
1,0,491.896352,1
1,0,576.696347,0
1,0,658.758089,0
1,0,454.048964,0
1,0,621.478629,0
1,0,602.836402,2
1,0,614.258836,2
1,0,554.624704,1
1,0,696.166486,1
1,0,709.689574,1
1,0,599.926889,2
1,0,619.823547,2
1,0,585.416073,0
1,0,594.94597,1
1,0,578.374328,1
1,7.5,502.768218,1
1,7.5,606.358988,2
0,7.5,596.186905,2
1,7.5,485.790308,1
1,7.5,575.564872,2
0,7.5,545.450072,2
0,7.5,531.791024,2
1,7.5,545.560536,2
1,7.5,840.867252,1
1,7.5,519.958589,0
1,7.5,556.624466,1
1,7.5,463.304458,1
1,7.5,442.281101,1
1,7.5,530.600238,0
1,7.5,579.09207,0
1,15,455.57706,1
1,15,529.884815,1
1,15,761.363361,0
1,15,442.693485,1
1,15,602.730149,2
1,15,703.784251,1
1,15,608.979682,1
1,15,512.562394,2
1,15,525.798948,0
1,15,508.210603,1
1,15,424.42521,1
0,15,448.533457,0
1,15,430.270749,1
1,22.5,670.546488,2
1,22.5,567.27673,1
1,22.5,654.919143,2
1,22.5,549.192566,0
1,22.5,625.371233,2
1,22.5,467.099953,2
1,22.5,670.734299,0
0,22.5,540.963571,1
1,22.5,946.691274,1
1,22.5,672.392756,2
1,22.5,753.414887,2
0,22.5,605.810834,2
0,22.5,549.587824,2
1,22.5,532.848035,1
1,22.5,398.344944,1
1,30,733.38066,0
1,30,795.700234,0
1,30,705.469017,2
1,30,686.852288,0
1,30,563.467974,2
1,30,658.785831,0
1,30,541.677107,2
1,30,751.395996,2
1,30,603.006746,2
1,30,653.569247,2
1,30,567.384079,0
1,30,485.123823,1
1,37.5,895.92586,2
1,37.5,644.989844,0
1,37.5,648.520161,0
1,37.5,841.357323,0
1,37.5,1136.225478,1
1,37.5,612.945169,0
1,37.5,486.107231,1
1,37.5,757.104592,1
1,37.5,800.368063,0
0,37.5,968.802997,2
1,37.5,551.17821,0
1,37.5,608.467621,2
1,37.5,577.175819,1
1,45,777.992871,2
1,45,656.663934,1
1,45,931.036729,2
1,45,584.942892,1
0,45,987.796181,2
1,45,951.045638,2
1,45,950.180905,1
0,45,1214.489543,2
1,45,1093.154385,2
1,45,565.532951,0
1,45,813.175617,1
1,45,507.435663,0
1,45,800.807107,0
1,45,803.960004,2
0,52.5,1339.362843,2
1,52.5,801.201919,1
1,52.5,525.662281,1
0,52.5,1193.472539,2
1,52.5,1036.431587,2
0,52.5,1334.098115,0
1,52.5,1322.373207,2
1,52.5,1334.356939,1
1,52.5,966.855223,1
1,52.5,839.946945,2
1,52.5,982.523715,2
1,52.5,744.517137,0
1,52.5,973.638568,2
1,52.5,439.305938,0
1,52.5,731.41113,1
1,60,864.161838,1
0,60,650.095338,1
1,60,1104.655828,1
0,60,1239.836797,2
1,60,892.834323,2
0,60,1608.733109,0
1,60,1363.256996,0
1,60,1223.414137,1
1,60,1983.660511,2
0,60,972.273257,0
1,60,897.724772,2
1,60,1014.811836,1
1,60,815.360907,0
1,60,788.602712,1
1,60,1236.62696,2
1,60,797.411882,2
