Correct Response,Rotation (deg),Adjusted Time,Target
1,-150,574.7215,0
1,30,505.2542,1
1,-150,499.9882,2
1,30,581.3516,2
0,60,798.2364,0
1,-90,443.0327,1
0,-90,553.3081,0
1,-90,658.72,0
1,-60,504.2036,0
1,180,494.2296,2
0,-120,631.316,0
1,60,532.7449,1
1,-90,402.232,1
0,-120,441.6927,0
1,-120,616.4112,0
1,-180,454.04,1
1,-180,766.74,2
0,-180,918.05,2
1,-180,529.79,1
1,-180,553.97,0
1,-180,568.12,2
0,-180,522.11,0
1,-180,532.18,0
1,-180,487.16,1
1,-180,486.18,1
1,-180,420.08,2
1,-180,473.89,2
1,-180,570.52,0
1,-180,566.38,1
1,-180,497.82,0
1,-180,464.77,0
1,-180,506.48,2
1,-180,393.51,1
0,-180,583.94,0
1,-180,504,2
1,-180,494.23,2
