Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
M,0,0,0.4989033,1,6,1111810765
B,0,0,0.6845191,0,6,1111831765
A,2,0,0.432322,1,6,1111834062
B,0,0,0.465675,1,6,1111841796
B,0,0,0.4364397,0,6,1111854265
B,2,0,0.4297175,0,6,1111866500
B,2,0,0.5228141,0,6,1111876109
B,2,0,0.4709576,0,6,1111890890
B,0,0,0.3983697,1,6,1111893625
M,0,0,0.6526956,1,6,1111895906
B,0,0,0.3862059,1,6,1111898515
B,0,0,0.5118493,1,6,1111900968
B,2,0,0.513727,1,6,1111905734
B,2,0,0.4871396,1,6,1111908171
B,2,0,0.4750699,1,6,1111915765
