Correct Response,Rotation (deg),Actual Time,Target
1,75,436.0386,2
1,-90,445.8992,2
0,-90,537.5729,1
1,15,526.4662,0
1,30,411.5377,0
1,45,436.8767,0
1,45,417.7062,1
1,-15,392.2691,1
1,-15,422.3339,1
1,45,494.584,1
1,60,533.4283,0
1,30,514.4543,1
1,-15,412.4512,1
1,0,420.8777,0
1,-75,635.2581,1
0,0,407.8756,0
1,15,426.0391,0
1,45,485.725,2
1,-60,480.1631,2
1,-15,473.3741,0
1,-75,790.4793,0
1,-75,350.6295,0
1,15,488.5505,0
1,90,461.002,2
1,-60,385.3852,2
0,-60,490.1568,0
1,15,429.2253,2
1,30,420.5935,0
0,30,433.6401,2
1,15,404.9298,2
1,-45,460.6537,1
1,45,439.561,2
1,90,613.419,1
1,45,441.0441,1
1,-90,455.4328,1
0,-60,511.1569,0
1,-60,463.1498,2
0,-75,540.1093,2
1,-90,446.0526,2
1,-75,442.8176,2
1,60,395.1777,2
1,60,364.3808,2
1,90,400.5529,2
1,60,448.1971,1
1,90,427.9752,1
1,75,406.5532,1
1,75,516.8782,1
1,-60,378.5824,1
1,90,472.2717,2
0,-30,366.0094,0
1,75,623.2017,1
1,75,489.4138,0
1,-30,456.463,1
1,-75,386.7231,1
0,0,464.3295,0
1,15,423.461,1
1,90,496.1304,1
1,-75,475.1877,2
1,-30,425.6989,1
1,45,439.3501,2
1,75,394.5241,1
1,90,457.31,2
1,60,547.3364,0
1,75,516.5634,2
1,75,439.5954,1
1,15,493.0325,0
1,60,409.4338,1
0,-90,435.5429,0
1,-90,579.056,0
1,0,427.7294,1
0,-60,391.0251,0
1,30,501.1773,2
1,-60,575.1707,2
1,-75,380.4651,2
1,-30,452.8601,2
0,0,445.9218,0
0,-90,960.765,1
1,-60,519.3062,2
1,0,508.1589,0
1,-90,554.2279,2
